,d_mean,d_std,d_max,d_min,d_peaks_num,d_peaks_mean,d_peaks_idx_mean,g_mean,g_std,g_max,g_min,g_argmax,g_peaks_num,g_peaks_mean,g_clpeak_idx,g_peaks_idx_mean,ud_mean,ud_std,ud_max,ud_min,ud_delta,ud_peaks_num,ud_peaks_mean,ug_mean,ug_std,ug_max,ug_min,ug_peaks_num,ug_peaks_mean,md_mean,md_std,md_max,md_min,md_peaks_num,md_peaks_mean,mg_mean,mg_std,mg_max,mg_min,mg_peaks_num,mg_peaks_mean,bd_mean,bd_std,bd_max,bd_min,bd_peaks_num,bd_peaks_mean,bg_mean,bg_std,bg_max,bg_min,bg_peaks_num,bg_peaks_mean,top_labels,mid_labels,bot_labels
345,1.3514,0.2175,1.726,1.026,0,0.0,0.0,-0.0018,0.0018,0.006,-0.0095,15,0,0.0,0,0.0,1.6137,0.0866,1.726,1.473,0.253,3,1.7183,-0.0018,0.0025,0.006,-0.0095,0,0.0,1.3269,0.0766,1.471,1.205,0,0.0,-0.0022,0.0014,0.0015,-0.008,0,0.0,1.1136,0.0506,1.205,1.026,0,0.0,-0.0015,0.0011,0.002,-0.0055,0,0.0,1,1,1
346,1.3841,0.234,1.835,1.045,0,0.0,0.0,-0.0022,0.0016,0.0025,-0.0095,32,0,0.0,0,0.0,1.6636,0.1144,1.835,1.481,0.354,0,0.0,-0.0029,0.0019,0.0025,-0.0095,1,0.0095,1.3563,0.0791,1.481,1.233,1,1.48,-0.0021,0.0016,0.0025,-0.009,0,0.0,1.1325,0.053,1.232,1.045,1,1.095,-0.0016,0.0008,0.0015,-0.0045,0,0.0,1,1,1
347,1.4576,0.2748,2.001,1.071,0,0.0,0.0,-0.0026,0.0023,0.003,-0.0245,23,1,0.0245,23,23.0,1.7908,0.1287,2.001,1.578,0.423,1,2.001,-0.0034,0.0034,0.0025,-0.0245,2,0.0125,1.4174,0.0894,1.577,1.266,1,1.297,-0.0026,0.0017,0.003,-0.009,0,0.0,1.1647,0.0592,1.265,1.071,0,0.0,-0.0016,0.0008,0.0005,-0.0045,0,0.0,1,1,1
348,1.4859,0.29,2.071,1.075,0,0.0,0.0,-0.0028,0.0021,0.0015,-0.0165,34,2,0.0093,118,112.5,1.8384,0.1306,2.071,1.622,0.449,1,1.732,-0.0037,0.003,0.0015,-0.0165,4,0.006,1.4432,0.0964,1.621,1.292,0,0.0,-0.0027,0.0013,0.0015,-0.0065,0,0.0,1.176,0.0614,1.29,1.075,0,0.0,-0.0018,0.0011,0.001,-0.0065,1,0.0065,1,1,1
349,1.5022,0.3065,2.126,1.076,0,0.0,0.0,-0.0029,0.0021,0.002,-0.012,42,0,0.0,0,0.0,1.8748,0.1427,2.126,1.644,0.482,1,1.724,-0.004,0.0026,0.002,-0.012,2,0.0083,1.4543,0.1039,1.641,1.291,0,0.0,-0.0029,0.0013,0.0,-0.006,0,0.0,1.1774,0.0635,1.291,1.076,0,0.0,-0.0018,0.0015,0.002,-0.0065,0,0.0,1,1,1
350,1.4975,0.3069,2.133,1.067,0,0.0,0.0,-0.0029,0.0022,0.008,-0.012,52,2,0.007,52,150.0,1.8706,0.1483,2.133,1.636,0.497,0,0.0,-0.0041,0.0022,0.004,-0.012,2,0.0113,1.4489,0.0985,1.624,1.292,1,1.474,-0.0028,0.0016,0.002,-0.008,0,0.0,1.173,0.0629,1.287,1.067,1,1.267,-0.0019,0.0021,0.008,-0.0085,1,0.002,1,1,1
351,1.4813,0.3067,2.184,0.994,1,1.094,341.0,-0.0032,0.0036,0.016,-0.0235,5,7,0.0133,351,237.1429,1.8532,0.1522,2.184,1.606,0.578,0,0.0,-0.0049,0.0034,-0.0005,-0.0235,2,0.0215,1.4328,0.0884,1.603,1.285,0,0.0,-0.0027,0.0012,0.0,-0.006,0,0.0,1.1578,0.0765,1.283,0.994,3,1.1113,-0.002,0.0047,0.016,-0.0155,5,0.01,1,1,1
352,1.4906,0.3051,2.141,1.049,0,0.0,0.0,-0.003,0.003,0.013,-0.0195,318,1,0.0095,18,18.0,1.859,0.1541,2.141,1.625,0.516,1,2.137,-0.0043,0.0027,0.002,-0.0125,2,0.011,1.4452,0.0892,1.622,1.295,0,0.0,-0.0027,0.0013,0.0,-0.006,0,0.0,1.1675,0.0733,1.293,1.049,3,1.0803,-0.002,0.0039,0.013,-0.0195,0,0.0,1,1,1
353,1.5616,0.3518,2.332,1.095,0,0.0,0.0,-0.0034,0.0025,0.0015,-0.0235,27,1,0.0045,16,16.0,1.989,0.1936,2.332,1.692,0.64,0,0.0,-0.0053,0.0033,0.0,-0.0235,3,0.0117,1.4964,0.1054,1.69,1.338,0,0.0,-0.003,0.0012,0.0005,-0.0065,0,0.0,1.1996,0.0688,1.333,1.095,0,0.0,-0.002,0.0009,0.0015,-0.0055,0,0.0,1,1,1
354,1.5529,0.3353,2.252,1.091,0,0.0,0.0,-0.0031,0.0034,0.041,-0.02,0,0,0.0,0,0.0,1.9604,0.1742,2.252,1.691,0.561,2,2.2485,-0.0042,0.0054,0.041,-0.02,0,0.0,1.4937,0.1049,1.687,1.342,0,0.0,-0.0029,0.0013,0.0,-0.0065,0,0.0,1.2047,0.0719,1.34,1.091,0,0.0,-0.0021,0.001,0.0,-0.0055,1,0.0,1,1,1
355,1.575,0.3526,2.364,1.102,0,0.0,0.0,-0.0035,0.0029,0.005,-0.0275,5,5,0.0086,198,153.6,2.0056,0.1918,2.364,1.704,0.66,0,0.0,-0.0055,0.0033,0.0005,-0.0275,1,0.0275,1.5048,0.106,1.699,1.334,2,1.503,-0.0031,0.0027,0.005,-0.011,6,0.0043,1.2148,0.0695,1.333,1.102,0,0.0,-0.0019,0.0008,0.0,-0.0035,0,0.0,1,1,1
356,1.5801,0.3517,2.418,1.101,0,0.0,0.0,-0.0035,0.0033,0.026,-0.02,0,1,0.0015,6,6.0,2.0104,0.1904,2.418,1.712,0.706,0,0.0,-0.0056,0.0049,0.026,-0.02,2,0.0025,1.5089,0.1074,1.706,1.335,0,0.0,-0.0031,0.0009,-0.001,-0.0055,0,0.0,1.2212,0.066,1.333,1.101,0,0.0,-0.002,0.001,0.0,-0.0055,0,0.0,1,1,1
357,1.5843,0.3528,2.379,1.093,0,0.0,0.0,-0.0036,0.0025,0.003,-0.013,21,6,0.0079,266,105.3333,2.0171,0.1931,2.379,1.726,0.653,0,0.0,-0.0055,0.0025,0.0,-0.013,5,0.0081,1.5096,0.1073,1.722,1.335,0,0.0,-0.0033,0.001,-0.001,-0.007,0,0.0,1.2261,0.0584,1.332,1.093,4,1.1842,-0.002,0.0023,0.003,-0.011,2,0.0085,1,1,1
358,1.5864,0.3495,2.339,1.165,1,1.165,352.0,-0.0031,0.003,0.0115,-0.022,66,4,0.0072,354,124.0,2.0188,0.1842,2.339,1.714,0.625,2,2.0725,-0.0052,0.0033,0.004,-0.022,5,0.0075,1.5092,0.1034,1.708,1.344,0,0.0,-0.0031,0.0013,-0.001,-0.01,0,0.0,1.2311,0.0511,1.342,1.165,7,1.1891,-0.0011,0.0024,0.0115,-0.005,3,0.0058,1,1,1
359,1.5857,0.3576,2.432,1.154,1,1.161,341.0,-0.0035,0.0044,0.0295,-0.0335,349,4,0.0107,343,100.25,2.0238,0.2032,2.432,1.715,0.717,0,0.0,-0.006,0.0031,0.001,-0.022,4,0.0126,1.5084,0.1063,1.711,1.339,0,0.0,-0.0031,0.001,-0.0005,-0.006,0,0.0,1.2249,0.0533,1.336,1.154,3,1.1583,-0.0012,0.006,0.0295,-0.0335,3,0.0122,1,1,1
360,1.5845,0.3621,2.419,1.141,0,0.0,0.0,-0.0031,0.0058,0.0675,-0.0165,357,4,0.0279,355,275.0,2.0258,0.2149,2.419,1.723,0.696,0,0.0,-0.0058,0.003,0.0,-0.0165,1,0.0145,1.5051,0.1086,1.717,1.335,0,0.0,-0.0032,0.001,-0.0015,-0.0065,0,0.0,1.2225,0.0562,1.332,1.141,2,1.1425,-0.0002,0.0086,0.0675,-0.0055,3,0.0323,1,1,1
361,1.5707,0.3558,2.403,1.095,0,0.0,0.0,-0.0036,0.0028,0.001,-0.026,4,1,0.026,4,4.0,2.0036,0.1998,2.403,1.71,0.693,0,0.0,-0.0058,0.0035,0.001,-0.026,3,0.0167,1.5009,0.1072,1.707,1.331,1,1.502,-0.0032,0.0015,0.001,-0.0075,0,0.0,1.2075,0.0656,1.33,1.095,0,0.0,-0.002,0.0008,0.0,-0.004,0,0.0,1,1,1
362,1.5823,0.3555,2.284,1.098,0,0.0,0.0,-0.0031,0.0036,0.036,-0.0125,5,9,0.0084,238,210.4444,2.0167,0.172,2.284,1.736,0.548,1,2.284,-0.0039,0.0052,0.036,-0.011,1,0.036,1.5213,0.1118,1.734,1.345,3,1.395,-0.0032,0.0024,0.004,-0.0125,6,0.0047,1.2087,0.0713,1.35,1.098,0,0.0,-0.0021,0.0018,0.003,-0.0065,3,0.0018,1,1,1
