,d_mean,d_std,d_max,d_min,d_peaks_num,d_peaks_mean,d_peaks_idx_mean,g_mean,g_std,g_max,g_min,g_argmax,g_peaks_num,g_peaks_mean,g_clpeak_idx,g_peaks_idx_mean,ud_mean,ud_std,ud_max,ud_min,ud_delta,ud_peaks_num,ud_peaks_mean,ug_mean,ug_std,ug_max,ug_min,ug_peaks_num,ug_peaks_mean,md_mean,md_std,md_max,md_min,md_peaks_num,md_peaks_mean,mg_mean,mg_std,mg_max,mg_min,mg_peaks_num,mg_peaks_mean,bd_mean,bd_std,bd_max,bd_min,bd_peaks_num,bd_peaks_mean,bg_mean,bg_std,bg_max,bg_min,bg_peaks_num,bg_peaks_mean,labels
134,1.9013,0.6141,3.205,1.146,1,3.205,18.0,-0.0052,0.0063,0.033,-0.031,2,14,0.0133,88,49.5714,2.6599,0.3528,3.205,2.092,1.113,1,3.205,-0.0077,0.01,0.033,-0.031,16,0.0139,1.7506,0.1734,2.084,1.484,0,0.0,-0.0051,0.002,-0.0005,-0.01,0,0.0,1.2934,0.0949,1.479,1.146,0,0.0,-0.0028,0.001,-0.0005,-0.0065,0,0.0,1
135,1.9061,0.602,3.153,1.163,0,0.0,0.0,-0.0051,0.0055,0.0135,-0.034,32,8,0.0083,190,89.375,2.6474,0.3507,3.153,2.093,1.06,1,3.153,-0.0076,0.0083,0.0135,-0.034,9,0.008,1.7596,0.1729,2.096,1.501,0,0.0,-0.005,0.0031,0.0015,-0.0185,3,0.0115,1.3112,0.0971,1.495,1.163,0,0.0,-0.0028,0.001,-0.001,-0.006,0,0.0,1
136,1.8957,0.5883,3.103,1.164,0,0.0,0.0,-0.0053,0.005,0.0085,-0.0325,28,13,0.0127,139,61.8462,2.6193,0.3436,3.103,2.083,1.02,2,3.0855,-0.0082,0.007,0.0085,-0.0325,12,0.0135,1.7544,0.169,2.066,1.497,0,0.0,-0.0048,0.0031,0.0025,-0.023,5,0.0071,1.3135,0.097,1.495,1.164,0,0.0,-0.0028,0.0009,-0.001,-0.006,0,0.0,1
137,1.8976,0.581,3.05,1.166,0,0.0,0.0,-0.005,0.0047,0.015,-0.0235,43,9,0.0091,144,85.8889,2.6156,0.3199,3.05,2.097,0.953,1,3.05,-0.0072,0.007,0.015,-0.0235,11,0.0106,1.7601,0.1705,2.09,1.5,0,0.0,-0.0049,0.0027,0.0005,-0.0125,3,0.0073,1.317,0.0985,1.501,1.166,0,0.0,-0.0028,0.0009,0.0,-0.005,0,0.0,1
138,1.9098,0.587,3.02,1.163,0,0.0,0.0,-0.0049,0.0049,0.015,-0.035,36,6,0.0127,96,65.8333,2.6402,0.2972,3.02,2.114,0.906,4,2.9695,-0.0069,0.0077,0.015,-0.035,9,0.0119,1.7728,0.1758,2.106,1.496,0,0.0,-0.0051,0.002,-0.0005,-0.0115,1,0.001,1.3163,0.1002,1.496,1.163,0,0.0,-0.0028,0.0009,0.0,-0.005,0,0.0,1
139,1.9275,0.5765,2.977,1.172,0,0.0,0.0,-0.0045,0.005,0.0265,-0.021,35,4,0.0119,83,89.0,2.6495,0.2477,2.977,2.168,0.809,4,2.8865,-0.0054,0.0081,0.0265,-0.021,3,0.0148,1.8025,0.1803,2.156,1.52,0,0.0,-0.0054,0.002,-0.0005,-0.011,1,0.003,1.3307,0.0999,1.517,1.172,0,0.0,-0.0029,0.0007,-0.0015,-0.006,0,0.0,1
140,2.0038,0.5995,3.026,1.204,1,2.878,30.0,-0.005,0.0043,0.012,-0.021,63,4,0.0159,63,31.5,2.7557,0.207,3.026,2.291,0.735,5,2.9086,-0.006,0.0067,0.012,-0.021,6,0.0143,1.8868,0.2052,2.282,1.572,0,0.0,-0.006,0.0023,-0.002,-0.0165,0,0.0,1.369,0.1062,1.567,1.204,0,0.0,-0.0031,0.001,-0.0005,-0.006,0,0.0,1
141,2.0121,0.5715,2.961,1.207,1,2.479,12.0,-0.0037,0.0094,0.0705,-0.037,16,17,0.0144,208,108.7059,2.7155,0.168,2.961,2.376,0.585,5,2.7112,-0.0013,0.0152,0.0705,-0.037,14,0.016,1.9342,0.2161,2.37,1.606,0,0.0,-0.0064,0.0035,0.002,-0.0195,8,0.0081,1.3866,0.1122,1.606,1.207,0,0.0,-0.0033,0.0022,0.0025,-0.01,2,0.0012,1
142,1.9954,0.5486,2.872,1.212,0,0.0,0.0,-0.0037,0.0082,0.0565,-0.028,18,15,0.0116,207,103.3333,2.6669,0.1376,2.872,2.37,0.502,3,2.629,-0.0016,0.0128,0.0565,-0.028,10,0.0139,1.9316,0.2166,2.365,1.598,0,0.0,-0.0064,0.0046,0.0055,-0.0205,12,0.009,1.3877,0.1134,1.598,1.212,0,0.0,-0.0032,0.0018,0.002,-0.0095,6,0.0049,1
143,1.9877,0.5458,2.854,1.21,2,2.6435,44.0,-0.0037,0.0078,0.0495,-0.0265,19,18,0.0117,257,136.8889,2.6542,0.1332,2.854,2.374,0.48,4,2.6648,-0.0015,0.0121,0.0495,-0.0265,13,0.013,1.9278,0.2185,2.362,1.58,0,0.0,-0.0066,0.0047,0.0045,-0.0235,13,0.0089,1.3812,0.1121,1.583,1.21,0,0.0,-0.0031,0.0015,0.0015,-0.0085,3,0.0033,1
144,1.9463,0.5228,2.772,1.201,1,2.412,10.0,-0.0034,0.0066,0.057,-0.0185,14,8,0.017,148,90.375,2.5846,0.1297,2.772,2.313,0.459,3,2.546,-0.001,0.0104,0.057,-0.0185,8,0.0166,1.8894,0.2067,2.305,1.582,0,0.0,-0.0061,0.003,0.0,-0.0155,7,0.0094,1.3648,0.1073,1.58,1.201,0,0.0,-0.0032,0.0014,-0.0015,-0.008,0,0.0,1
145,1.9256,0.4976,2.696,1.194,0,0.0,0.0,-0.0033,0.0054,0.024,-0.0175,18,10,0.0095,162,145.2,2.5258,0.1195,2.696,2.311,0.385,2,2.53,-0.0005,0.0077,0.024,-0.016,3,0.0115,1.884,0.2055,2.3,1.576,0,0.0,-0.0061,0.0036,0.0035,-0.0175,10,0.0058,1.3671,0.1109,1.574,1.194,0,0.0,-0.0032,0.001,-0.0005,-0.006,0,0.0,1
146,1.9298,0.4898,2.686,1.2,0,0.0,0.0,-0.0033,0.0055,0.0305,-0.018,23,10,0.0083,198,121.7,2.5156,0.1011,2.686,2.327,0.359,4,2.4848,-0.0007,0.0081,0.0305,-0.018,8,0.0103,1.9006,0.2083,2.318,1.584,0,0.0,-0.0062,0.0024,-0.0015,-0.012,3,0.0063,1.3732,0.1104,1.581,1.2,0,0.0,-0.0032,0.0017,0.002,-0.0085,2,0.0012,1
147,1.9705,0.4685,2.667,1.229,1,2.333,15.0,-0.003,0.0054,0.028,-0.0175,0,4,0.01,42,62.5,2.4885,0.1052,2.667,2.329,0.338,5,2.4304,0.0014,0.0066,0.028,-0.0175,3,0.0115,2.0064,0.2391,2.478,1.652,0,0.0,-0.007,0.0026,-0.0025,-0.016,0,0.0,1.4168,0.1185,1.645,1.229,0,0.0,-0.0035,0.0012,-0.0005,-0.007,0,0.0,1
148,1.9923,0.4387,2.631,1.261,0,0.0,0.0,-0.0028,0.0056,0.0195,-0.016,16,3,0.007,304,224.3333,2.4109,0.1247,2.631,2.229,0.402,6,2.3147,0.003,0.0047,0.0195,-0.013,5,0.0066,2.1072,0.2692,2.618,1.709,0,0.0,-0.0076,0.0032,0.002,-0.016,2,0.005,1.459,0.1284,1.705,1.261,0,0.0,-0.0037,0.0021,0.0015,-0.0105,4,0.0059,1
