,d_mean,d_std,d_max,d_min,d_peaks_num,d_peaks_mean,d_peaks_idx_mean,g_mean,g_std,g_max,g_min,g_argmax,g_peaks_num,g_peaks_mean,g_clpeak_idx,g_peaks_idx_mean,ud_mean,ud_std,ud_max,ud_min,ud_delta,ud_peaks_num,ud_peaks_mean,ug_mean,ug_std,ug_max,ug_min,ug_peaks_num,ug_peaks_mean,md_mean,md_std,md_max,md_min,md_peaks_num,md_peaks_mean,mg_mean,mg_std,mg_max,mg_min,mg_peaks_num,mg_peaks_mean,bd_mean,bd_std,bd_max,bd_min,bd_peaks_num,bd_peaks_mean,bg_mean,bg_std,bg_max,bg_min,bg_peaks_num,bg_peaks_mean,labels
22,2.1396,0.863,4.247,1.187,0,0.0,0.0,-0.0086,0.0077,-0.001,-0.0415,88,14,0.0183,178,61.7857,3.2034,0.599,4.247,2.257,1.99,0,0.0,-0.0168,0.0081,-0.0015,-0.0415,16,0.0193,1.8605,0.196,2.247,1.563,0,0.0,-0.0058,0.0025,-0.0015,-0.015,1,0.0125,1.3549,0.1084,1.56,1.187,0,0.0,-0.0031,0.001,-0.001,-0.007,0,0.0,3
23,2.1981,0.8921,4.262,1.217,1,4.262,9.0,-0.0081,0.0087,0.0225,-0.0675,99,8,0.0218,128,38.625,3.309,0.5902,4.262,2.312,1.95,1,4.262,-0.0153,0.0117,0.0225,-0.0675,13,0.0232,1.9014,0.2039,2.299,1.595,0,0.0,-0.0059,0.0025,-0.0015,-0.0145,1,0.0145,1.3838,0.1113,1.592,1.217,0,0.0,-0.0031,0.0011,0.0,-0.0065,0,0.0,3
24,2.2439,0.9232,4.452,1.22,0,0.0,0.0,-0.009,0.0088,0.006,-0.058,5,20,0.0199,141,60.95,3.4004,0.5898,4.452,2.36,2.092,0,0.0,-0.0175,0.0103,0.001,-0.058,15,0.0233,1.9342,0.2136,2.348,1.611,0,0.0,-0.0062,0.0031,0.006,-0.0185,10,0.0097,1.3971,0.1146,1.606,1.22,0,0.0,-0.0032,0.001,-0.0015,-0.006,0,0.0,3
25,2.3285,1.0046,4.838,1.228,0,0.0,0.0,-0.01,0.0099,0.0055,-0.0705,9,12,0.0252,197,63.5833,3.5958,0.6257,4.838,2.483,2.355,0,0.0,-0.0197,0.0115,0.0055,-0.0705,12,0.025,1.9786,0.2282,2.459,1.635,0,0.0,-0.007,0.0034,-0.0005,-0.0205,4,0.0071,1.411,0.1176,1.629,1.228,0,0.0,-0.0034,0.001,-0.0015,-0.007,0,0.0,3
26,2.3417,1.0254,4.823,1.23,0,0.0,0.0,-0.01,0.0099,0.0175,-0.064,25,21,0.0245,202,60.9048,3.6312,0.6549,4.823,2.509,2.314,0,0.0,-0.0194,0.0118,0.0175,-0.064,21,0.0265,1.9828,0.2321,2.49,1.64,0,0.0,-0.0072,0.0039,0.001,-0.025,5,0.0057,1.4112,0.1189,1.634,1.23,0,0.0,-0.0034,0.0011,-0.001,-0.0065,0,0.0,3
27,2.3396,1.0318,5.074,1.228,0,0.0,0.0,-0.0107,0.0105,0.0035,-0.056,35,26,0.0238,215,64.3462,3.6311,0.6795,5.074,2.591,2.483,0,0.0,-0.021,0.0104,-0.003,-0.056,25,0.0252,1.9775,0.2347,2.562,1.637,0,0.0,-0.0078,0.0072,0.0035,-0.0545,6,0.0113,1.4102,0.1182,1.633,1.228,0,0.0,-0.0034,0.0013,0.0005,-0.008,0,0.0,3
28,2.3404,1.0305,4.965,1.226,1,4.965,3.0,-0.01,0.0113,0.046,-0.064,122,19,0.0271,122,65.6316,3.6325,0.6666,4.965,2.656,2.309,1,4.965,-0.0182,0.0138,0.046,-0.0515,18,0.0273,1.9811,0.2422,2.629,1.623,0,0.0,-0.0085,0.0086,-0.0005,-0.064,7,0.0157,1.4076,0.118,1.62,1.226,0,0.0,-0.0033,0.0013,0.0,-0.0075,0,0.0,3
29,2.3051,1.0007,4.995,1.214,0,0.0,0.0,-0.0105,0.0106,-0.0005,-0.0685,2,14,0.021,162,45.5,3.5601,0.6414,4.995,2.62,2.375,0,0.0,-0.02,0.0109,-0.004,-0.0685,15,0.021,1.9595,0.2413,2.602,1.618,0,0.0,-0.0083,0.0086,-0.001,-0.0655,1,0.012,1.3957,0.1151,1.613,1.214,0,0.0,-0.0034,0.0013,-0.0005,-0.0075,0,0.0,3
30,2.2894,0.9709,4.963,1.219,0,0.0,0.0,-0.0104,0.0122,0.007,-0.084,4,14,0.0271,136,78.2143,3.5095,0.5942,4.963,2.626,2.337,3,3.9187,-0.0195,0.0156,0.007,-0.084,17,0.0216,1.9653,0.2571,2.619,1.613,0,0.0,-0.0084,0.0078,-0.001,-0.057,5,0.0164,1.3936,0.113,1.608,1.219,0,0.0,-0.0033,0.0011,-0.001,-0.007,0,0.0,3
31,2.328,1.0095,4.974,1.216,0,0.0,0.0,-0.0104,0.0114,0.0,-0.113,3,17,0.0288,141,70.8235,3.5879,0.6271,4.974,2.714,2.26,0,0.0,-0.0189,0.014,0.0,-0.113,18,0.0246,1.9988,0.2978,2.706,1.619,0,0.0,-0.0091,0.0084,-0.0025,-0.058,6,0.0228,1.3971,0.1144,1.614,1.216,0,0.0,-0.0033,0.0012,-0.001,-0.0075,0,0.0,3
32,2.4264,1.1211,5.358,1.226,0,0.0,0.0,-0.0111,0.013,0.071,-0.071,0,28,0.0267,147,55.6429,3.7987,0.7744,5.358,2.774,2.584,0,0.0,-0.0203,0.0176,0.071,-0.071,28,0.025,2.0694,0.3396,2.766,1.646,0,0.0,-0.0094,0.0073,-0.0025,-0.048,4,0.0234,1.4112,0.1186,1.642,1.226,0,0.0,-0.0035,0.001,-0.0015,-0.0065,0,0.0,3
33,2.4336,1.1101,5.508,1.238,0,0.0,0.0,-0.0119,0.0125,0.0005,-0.093,14,19,0.0294,152,55.1053,3.7863,0.7693,5.508,2.784,2.724,0,0.0,-0.0228,0.0152,-0.0045,-0.093,19,0.0276,2.0923,0.3482,2.774,1.651,0,0.0,-0.0094,0.0063,-0.003,-0.043,4,0.0241,1.4222,0.1202,1.649,1.238,0,0.0,-0.0034,0.0011,0.0005,-0.0075,0,0.0,3
34,2.4826,1.1649,6.02,1.243,0,0.0,0.0,-0.0133,0.0157,0.0,-0.1115,9,11,0.0411,163,58.3636,3.8851,0.8522,6.02,2.811,3.209,0,0.0,-0.0269,0.0201,-0.008,-0.1115,17,0.0391,2.1338,0.3614,2.799,1.665,0,0.0,-0.0095,0.006,-0.003,-0.039,3,0.022,1.4289,0.1227,1.66,1.243,0,0.0,-0.0035,0.0012,0.0,-0.0065,0,0.0,3
35,2.4811,1.1735,5.891,1.233,0,0.0,0.0,-0.013,0.0144,-0.001,-0.086,26,18,0.0406,178,65.2778,3.8914,0.8707,5.891,2.79,3.101,0,0.0,-0.0259,0.0178,-0.007,-0.086,18,0.04,2.1281,0.3557,2.775,1.661,0,0.0,-0.0094,0.006,-0.0025,-0.0335,5,0.0229,1.4238,0.1227,1.656,1.233,0,0.0,-0.0035,0.0011,-0.001,-0.006,0,0.0,3
36,2.4211,1.1096,5.585,1.228,0,0.0,0.0,-0.0122,0.0125,-0.0015,-0.079,17,20,0.0282,172,62.1,3.7594,0.8004,5.585,2.718,2.867,0,0.0,-0.0241,0.0144,-0.006,-0.079,21,0.0275,2.094,0.3446,2.711,1.642,0,0.0,-0.009,0.0054,-0.002,-0.029,5,0.021,1.41,0.1174,1.637,1.228,0,0.0,-0.0034,0.001,-0.0015,-0.0065,0,0.0,3
